Original_X,Noisy_X,Original_Y,Noisy_Y,Original_Z,Noisy_Z
-0.844924,-0.884806,7.10323,6.83771,-0.00101103,-0.00100332
-0.850512,-0.869174,7.10342,7.22171,-0.00101226,-0.000987603
-0.856312,-0.838304,7.1034,6.86855,-0.00101232,-0.00101899
-0.86192,-0.863909,7.1032,7.25603,-0.001012,-0.0010123
-0.867474,-0.893291,7.10281,6.80266,-0.00101175,-0.000976917
-0.873188,-0.874497,7.10216,7.06212,-0.00101155,-0.00101066
-0.878711,-0.836178,7.10132,7.27753,-0.00101078,-0.00098933
-0.884208,-0.85585,7.10029,6.93097,-0.00101019,-0.000996305
-0.889836,-0.870056,7.09902,6.95763,-0.00101007,-0.00101482
-0.895257,-0.896128,7.09758,7.22432,-0.00101034,-0.000968969
-0.900629,-0.9374,7.09594,7.35959,-0.00101107,-0.00100414
-0.906101,-0.862935,7.09405,7.3427,-0.00101205,-0.00101221
-0.911333,-0.947599,7.09203,7.41636,-0.0010116,-0.00100931
-0.916444,-0.955409,7.08983,7.26861,-0.00101204,-0.00103957
-0.921638,-0.90474,7.08736,7.14882,-0.0010111,-0.00103347
-0.926591,-0.965554,7.08479,6.8609,-0.00100999,-0.00104387
-0.931454,-0.887415,7.08203,6.85638,-0.00100941,-0.00101342
-0.936363,-0.946174,7.07901,6.81858,-0.00100923,-0.00102752
-0.941023,-0.92559,7.07589,6.72363,-0.00100944,-0.00100984
-0.945573,-0.965303,7.07261,6.84834,-0.00101013,-0.0010441
-0.950136,-0.907604,7.06905,7.04989,-0.00101115,-0.000969448
-0.954429,-0.956107,7.06544,7.3107,-0.00101169,-0.00101038
-0.958558,-0.984018,7.0617,7.21404,-0.00101094,-0.000998027
-0.962669,-0.968497,7.05769,6.7246,-0.00101049,-0.00101263
-0.966519,-0.966469,7.05365,6.96611,-0.00100939,-0.000998266
-0.970226,-0.996747,7.04947,7.38149,-0.00100874,-0.000977405
-0.97389,-0.928824,7.04502,7.05932,-0.00100849,-0.00104525
-0.977289,-0.931283,7.04056,6.76064,-0.00100862,-0.00101919
-0.980529,-0.942815,7.03597,7.04453,-0.00100925,-0.00103653
-0.983694,-1.0119,7.03113,6.78255,-0.00101015,-0.000979832
-0.986588,-0.938285,7.02632,7.25638,-0.00101073,-0.00102933
-0.989287,-1.02547,7.02144,7.25274,-0.00101006,-0.000979403
-0.991875,-1.03009,7.01632,7.16479,-0.00100994,-0.000989687
-0.994208,-0.949143,7.01125,6.75362,-0.00100917,-0.00100425
-0.99636,-0.973964,7.0061,7.27539,-0.00100839,-0.00102802
-0.998383,-0.977534,7.0007,7.09542,-0.00100807,-0.000987914
-1.00016,-1.03713,6.99538,7.19532,-0.00100813,-0.000975935
-1.00174,-0.987964,6.99,7.27788,-0.00100863,-0.000968735
-1.00316,-0.95328,6.98439,7.0469,-0.00100936,-0.00103769
-1.00434,-1.00355,6.9789,6.69305,-0.00101001,-0.000963664
-1.00532,-1.03806,6.97339,7.09493,-0.00100929,-0.00105311
-1.00611,-1.00434,6.96772,6.6198,-0.00100988,-0.00102422
-1.00668,-1.05223,6.96216,7.2805,-0.00100873,-0.0010563
-1.00705,-1.04591,6.95658,7.05262,-0.001008,-0.000988105
-1.00721,-0.963736,6.95082,6.71677,-0.00100764,-0.00103291
-1.00717,-1.02186,6.94521,7.22482,-0.00100766,-0.0010391
-1.00693,-1.00614,6.9396,6.73341,-0.00100807,-0.00101732
-1.00646,-0.967105,6.93382,6.79182,-0.00100887,-0.00105107
-1.0058,-0.979541,6.92824,7.02116,-0.00100966,-0.00102871
-1.00494,-0.980043,6.9227,7.10116,-0.00100909,-0.00105857
-1.00386,-0.979216,6.91707,7.23365,-0.00100968,-0.000969259
-1.0026,-1.00971,6.91162,7.04644,-0.00100858,-0.000989065
-1.00114,-0.976076,6.90622,6.58007,-0.00100784,-0.000967364
-0.999433,-1.01424,6.9007,7.1563,-0.00100741,-0.000998978
-0.997579,-0.983278,6.89541,6.66576,-0.00100739,-0.001055
-0.995532,-1.03844,6.89017,7.15683,-0.00100773,-0.00100484
-0.993223,-0.982185,6.88485,6.89954,-0.00100855,-0.00104558
-0.990792,-1.0103,6.87977,6.72865,-0.00100945,-0.00102739
-0.988185,-1.03049,6.8748,7.04842,-0.00100943,-0.000975097
-0.98533,-1.03359,6.86981,6.89758,-0.00100943,-0.00103158
-0.982374,-0.973416,6.86505,6.53058,-0.00100866,-0.000973312
-0.979249,-0.932196,6.86041,6.80501,-0.00100784,-0.000970722
-0.975852,-0.959732,6.85574,6.94784,-0.00100738,-0.00101348
-0.972384,-0.994006,6.85132,6.66525,-0.0010073,-0.00101341
-0.968755,-1.01645,6.84702,6.81869,-0.00100759,-0.00102806
-0.96485,-0.92376,6.84273,6.88129,-0.00100835,-0.00097616
-0.960907,-0.921498,6.83871,6.64901,-0.00100926,-0.000985719
-0.956827,-0.945018,6.83483,6.99107,-0.00100965,-0.000993659
-0.952507,-0.958565,6.83102,7.15264,-0.00100912,-0.00105818
-0.948176,-0.924215,6.82748,6.55007,-0.0010088,-0.0010422
-0.943717,-0.944366,6.82409,6.88915,-0.00100807,-0.00105184
-0.93899,-0.899557,6.82076,6.91031,-0.00100746,-0.00100478
-0.934279,-0.937492,6.81769,6.7335,-0.00100734,-0.00104903
-0.929455,-0.958264,6.8148,7.05431,-0.00100757,-0.0010377
-0.924371,-0.945654,6.81199,6.54661,-0.00100822,-0.000962885
-0.919336,-0.899775,6.80945,6.68013,-0.00100921,-0.001039
-0.914216,-0.934295,6.8071,6.79967,-0.00100974,-0.00103963
-0.908888,-0.894292,6.80488,6.48761,-0.00100889,-0.000963822
-0.903649,-0.887147,6.80292,6.61909,-0.00100917,-0.00095996
-0.89833,-0.882961,6.80115,6.83785,-0.00100842,-0.000959628
-0.89278,-0.848711,6.79952,6.71923,-0.00100771,-0.00097002
-0.887331,-0.920226,6.79814,7.07184,-0.00100752,-0.000983138
-0.881826,-0.848847,6.79695,6.83409,-0.0010077,-0.00100775
-0.876106,-0.897214,6.79593,6.96966,-0.00100829,-0.00101822
-0.870514,-0.880403,6.79515,6.5975,-0.00100926,-0.00104433
-0.8649,-0.846595,6.79457,6.67979,-0.00100996,-0.000995709
-0.859123,-0.819118,6.79418,6.91505,-0.00100916,-0.0010182
-0.853536,-0.881532,6.79402,6.95262,-0.00100985,-0.00101789
-0.847923,-0.829999,6.79405,7.1037,-0.00100887,-0.000975707
-0.842139,-0.881459,6.7943,6.7829,-0.00100813,-0.000980496
-0.83653,-0.867564,6.79474,6.81146,-0.00100787,-0.00104682
-0.830932,-0.869919,6.79539,6.62628,-0.00100798,-0.00103023
-0.825184,-0.794986,6.79627,7.10713,-0.00100856,-0.00099214
-0.819632,-0.789561,6.79733,7.04712,-0.00100956,-0.00103666
-0.814121,-0.804536,6.79858,6.81242,-0.00101035,-0.00103663
-0.80851,-0.811745,6.80008,6.69368,-0.00100993,-0.000984636
-0.803158,-0.78908,6.80172,6.58663,-0.00101052,-0.00100101
-0.797848,-0.762456,6.80357,7.07206,-0.00100955,-0.00105843
-0.792448,-0.779877,6.80566,6.57776,-0.00100876,-0.00101427
-0.787276,-0.805921,6.80789,6.94851,-0.00100846,-0.00102242
-0.782179,-0.775872,6.8103,6.55244,-0.00100856,-0.000961315
-0.777016,-0.799523,6.81298,6.80695,-0.00100903,-0.00102664
-0.772096,-0.738919,6.81577,6.69948,-0.00101001,-0.00105632
-0.767275,-0.803353,6.81874,6.6117,-0.00101102,-0.000984499
-0.76243,-0.755637,6.82197,6.75384,-0.00101125,-0.00104767
-0.75788,-0.754479,6.82525,6.693,-0.00101118,-0.00100052
